0.539919,0.283659,0.388493,0.309686,0.700756,0.563056,0.161065
0.541838,0.379244,0.504101,0.287126,0.721476,0.457955,0.244458
0.529637,0.379251,0.480671,0.304466,0.719982,0.414841,0.199073
0.510028,0.402677,0.515399,0.164734,0.826025,0.330328,0.155755
0.521056,0.39288,0.520536,0.134717,0.807704,0.259243,0.254167
0.502765,0.39867,0.485931,0.144719,0.800844,0.205753,0.26061
0.50467,0.353662,0.467224,0.136318,0.795855,0.174876,0.201053
0.51317,0.367754,0.457407,0.163403,0.817161,0.157712,0.24226
0.504831,0.345171,0.428181,0.159242,0.791554,0.152854,0.168764
0.489754,0.359251,0.418689,0.153794,0.760496,0.155615,0.22322
0.489361,0.340841,0.407085,0.143644,0.765451,0.15484,0.187397
0.489771,0.32619,0.376116,0.312854,0.80635,0.168985,0.281441
0.476661,0.50069,0.520517,0.423479,0.754669,0.257202,0.260859
0.470244,0.525904,0.532583,0.266954,0.716703,0.29174,0.271306
