2.85325,2.08317,2.78658,1.59883,0.550738,828.78,7.95698,35.8181,43.0775,62.218,0.394682,1.54349,0.426943,0.503292,0.223499,1.70449,5.59019,14.8461,1.11712,0.423515
2.90793,2.44949,3.08084,2.10271,0.649774,842.773,9.20773,39.0708,41.6634,57.4232,0.384193,1.64291,0.464809,0.539614,0.239083,1.61706,6.2771,14.882,1.17591,0.472502
2.90067,2.73743,3.23819,2.52945,0.723302,867.648,10.5939,42.7428,40.6538,55.0074,0.380244,1.73904,0.465268,0.575573,0.254798,1.62977,6.83342,14.9943,1.13025,0.527378
2.86542,2.91415,3.20152,2.75154,0.750735,898.177,11.9131,44.3141,39.7692,54.3491,0.382446,1.82766,0.427181,0.588711,0.263845,1.72795,7.21364,15.232,0.99415,0.564528
2.8738,2.96635,2.97203,2.70717,0.727721,927.725,12.919,42.2232,38.8228,54.2155,0.391287,1.91262,0.366731,0.56435,0.262638,1.87143,7.43787,15.5468,0.808173,0.572818
3.09746,2.93614,2.63812,2.43445,0.66497,950.687,13.5537,36.6029,37.9081,53.3651,0.415219,2.004,0.305474,0.507322,0.252727,2.19934,7.65104,15.8569,0.625059,0.550087
3.71746,2.91386,2.33704,2.04055,0.579939,964.279,13.9352,29.3043,37.2823,51.3184,0.459393,2.10584,0.26207,0.440157,0.239392,2.89349,8.04032,16.0797,0.485522,0.503206
4.74971,3.00167,2.16864,1.64725,0.490777,968.991,14.158,23.0934,37.0851,48.846,0.517321,2.20909,0.242439,0.389039,0.228597,3.98923,8.69285,16.1732,0.404199,0.445516
5.96791,3.23735,2.15891,1.3444,0.410798,967.906,14.4245,20.7417,37.3867,47.396,0.571577,2.29347,0.239008,0.368716,0.224405,5.28438,9.46972,16.1664,0.370643,0.391726
6.97683,3.56645,2.24064,1.15556,0.346598,965.07,14.8881,23.3024,38.0106,47.9198,0.603422,2.33869,0.238806,0.37721,0.227448,6.37235,10.0456,16.0945,0.360376,0.352119
7.39323,3.85031,2.29435,1.05274,0.300444,963.233,15.642,29.6395,38.8307,50.0873,0.609217,2.33511,0.231523,0.40144,0.235814,6.83128,10.0736,15.9412,0.355594,0.32938
7.04999,3.94174,2.21898,0.985453,0.27111,963.405,16.4323,37.1382,39.754,52.4029,0.601691,2.29285,0.22012,0.427759,0.247842,6.49683,9.42718,15.6432,0.346577,0.317283
6.06772,3.77879,1.97535,0.917137,0.255673,964.415,16.8404,43.0418,40.6014,53.2478,0.598598,2.23506,0.215008,0.44843,0.262394,5.50672,8.28731,15.1302,0.329983,0.306097
4.80377,3.42572,1.61994,0.833707,0.2499,962.626,16.3217,45.531,40.9088,51.8931,0.605798,2.18127,0.222118,0.463524,0.277722,4.23609,7.05365,14.4064,0.306574,0.292013
3.6664,3.0017,1.25435,0.736871,0.249747,954.048,14.6399,44.4336,40.3648,48.8738,0.621815,2.13501,0.239622,0.476926,0.2902,3.11521,6.11103,13.6048,0.279901,0.279444
